Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00847,0.00543,0.00009,0.00106,0.00028,0.00014,0.00106,0.00014,0,0,0,0.00028,0.00014,0.00124,0.00179,0.00216,0.00152,0.00005,0.00023,0.51765,33.88889,0.00028,0.00023,0.01068,0.00028,107.03941,"21,729","4,115",Catullus Elegy,203,Verse
0.0029,0.00216,0,0.00081,0,0.0002,0.00074,0,0,0,0,0.00007,0,0.00108,0.00013,0.00202,0.00101,0.00007,0,0.39362,50.9434,0.00013,0.00034,0.00748,0.00013,136.10092,"14,835","2,440",Catullus Epic,109,Verse
0.00753,0.00363,0.00009,0.00068,0.00045,0.00027,0.00048,0.00033,0.00003,0,0,0.00033,0.00006,0.00175,0.00128,0.00137,0.00244,0.0003,0.00024,0.34405,29.89189,0.00021,0.00051,0.01395,0.00131,85.54962,"33,621","6,294",Catullus Misc,393,Verse
0.00019,0.00797,0.00042,0.00085,0.00035,0.00181,0.00071,0.00071,0,0.00002,0.00002,0.00007,0.00005,0.00111,0.00303,0.00414,0.00007,0.00066,0.00012,0.60067,28.6755,0.00148,0.00075,0.01881,0,136.74598,"42,528","7,526",Celsus De Medicina Part 1,311,Prose
0.00008,0.0062,0.00071,0.00041,0.00008,0.00081,0.00055,0.00074,0,0.00005,0.00005,0.00003,0.00005,0.00121,0.00449,0.00395,0.00003,0.0006,0.00018,0.54803,26.0464,0.00076,0.00034,0.02194,0,148.46939,"72,750","13,124",Celsus De Medicina Part 2,490,Prose
0.00007,0.00728,0.00063,0.00057,0.00008,0.00106,0.00075,0.00064,0,0.00003,0.00004,0.00012,0.00007,0.00158,0.00443,0.00428,0.00001,0.0007,0.00003,0.48662,26.62347,0.003,0.00057,0.01937,0,122.28167,"73,369","13,273",Celsus De Medicina Part 3,600,Prose
0.00007,0.00705,0.00045,0.00048,0.0001,0.00043,0.00056,0.00071,0,0.00003,0.00002,0.00018,0.00002,0.00114,0.00325,0.00452,0,0.00054,0.00013,0.42715,29.29042,0.00209,0.00048,0.02057,0,120.86454,"60,674","10,875",Celsus De Medicina Part 4,502,Prose
0.00005,0.00677,0.00076,0.00029,0.00003,0.00082,0.00037,0.00097,0,0.00002,0.00004,0.00017,0.00001,0.00093,0.00265,0.00382,0,0.00036,0.00007,0.51815,27.37418,0.00128,0.0003,0.01957,0,120.51995,"96,657","17,522",Celsus De Medicina Part 5,802,Prose
0.00013,0.008,0.00069,0.00043,0.00006,0.00052,0.00058,0.00124,0,0.00002,0.00006,0.00011,0.00002,0.00089,0.00291,0.00456,0,0.00042,0.00006,0.51107,28.93296,0.00328,0.00042,0.01896,0,124.98994,"62,120","11,340",Celsus De Medicina Part 6,497,Prose
0.0001,0.00833,0.00072,0.00054,0.00004,0.00055,0.00105,0.00095,0.00001,0.00005,0.00001,0.00004,0.00004,0.00205,0.00346,0.00478,0,0.00026,0.00005,0.56539,27.32258,0.00267,0.00031,0.01891,0,127.45526,"96,866","17,536",Celsus De Medicina Part 7,760,Prose
0.00003,0.0081,0.00048,0.00067,0.00002,0.00045,0.00077,0.00127,0,0.00003,0.00002,0.00008,0.00005,0.00168,0.00341,0.00462,0,0.00035,0.0001,0.56522,27.17531,0.00305,0.00032,0.01895,0,135.31236,"62,379","11,389",Celsus De Medicina Part 8,461,Prose
0.00304,0.00849,0.00113,0.00099,0.00037,0.00113,0.00124,0.00062,0,0,0,0.00015,0.00011,0.00231,0.00154,0.00425,0.00051,0.00048,0.00029,0.69079,39.62555,0.00103,0.00095,0.02025,0,164.54819,"27,315","4,876",Cicero Academica,166,Prose
0.00298,0.00775,0.00058,0.00075,0.00038,0.00048,0.00105,0.00081,0.00001,0.00003,0.00001,0.00005,0.00005,0.00215,0.00112,0.00341,0.00079,0.0008,0.00012,0.55346,34.59105,0.00054,0.00107,0.01794,0.00001,130.76648,"138,874","25,109",Cicero Brutus,1062,Prose
0.00811,0.005,0.00013,0.00084,0,0.00006,0.00065,0.00091,0.00006,0,0,0.00013,0.00019,0.00136,0.00097,0.00311,0.00026,0.00195,0.00013,0.64706,34.53097,0.00045,0.00123,0.0135,0,217.05634,"15,411","2,639",Cicero Cum Populo Gratias Egit,71,Prose
0.00206,0.00737,0.00068,0.00156,0.00035,0.00047,0.00115,0.00056,0,0.00004,0,0.00004,0.0001,0.00338,0.002,0.00453,0.00091,0.00088,0.00018,0.62703,32.27739,0.00078,0.00084,0.01754,0,123.89398,"51,416","9,338",Cicero De Amicitia,415,Prose
0.00216,0.00714,0.00054,0.00077,0.00035,0.00052,0.00088,0.00083,0.00001,0.00003,0,0.00007,0.00005,0.00206,0.00175,0.00344,0.00258,0.00033,0.00027,0.57296,29.91443,0.00063,0.0011,0.0159,0.00003,109.08861,"155,124","27,761",Cicero De Divinatione,1422,Prose
0.0059,0.00646,0.00012,0.00074,0.00068,0.00033,0.00077,0.00046,0,0.00002,0.00001,0.00001,0.00004,0.00145,0.00195,0.00406,0.00318,0.00137,0.00014,0.59091,34.74645,0.00049,0.00095,0.01304,0.00008,142.60768,"85,422","15,136",Cicero De Domo Sua,599,Prose
